Rack,Row,Column,Card_num,Cage_ID,Breeder,Lineage,Father,Mother1,Mother2,Tag1,Tag2,Tag3,Tag4,Tag5,Note,Number
Rack1,1,A,,,,,,,,NA,NA,NA,NA,NA,,0
Rack1,1,B,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,1,C,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,1,D,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,1,E,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,1,F,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,1,G,214479,,N,PB3,5636,5638,5611,6040,NA,NA,NA,NA,,
Rack1,1,H,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,2,A,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,2,B,244645,,N,PB7,5480,5660,5509,5890,5897,5899,7085,NA,,
Rack1,2,C,247469,,N,PB3,5625,5638,5611,7091,792,NA,NA,NA,,
Rack1,2,D,247468,,N,PB3,5626,5638,5611,7087,7088,7089,NA,NA,,
Rack1,2,E,,,,,,,,NA,NA,NA,NA,NA,,
Rack1,2,F,214474,,N,PB3,5607,5678,5594,6021,6022,6023,6024,6025,,
Rack1,2,G,244639,,N,PB7,5567,5988,,5887,NA,NA,NA,NA,,
Rack1,2,H,214494,,N,PB7,5480,5660,5509,5852,NA,NA,NA,NA,,
Rack1,3,A,184087,,N,INS21,5495,5503,,5783,5784,NA,NA,NA,,
Rack1,3,B,243830,,Y,Cas9,5789,7067,,NA,NA,NA,NA,NA,,
Rack1,3,C,2438,,Y,PBF,5717,5720,5778,NA,NA,NA,NA,NA,Clinical Issue,
Rack1,3,D,247470,,N,PB3,5607,5678,5594,5874,5876,5877,NA,NA,,
Rack1,3,E,244640,,N,PB7,5567,5988,,5889,NA,NA,NA,NA,,
Rack1,3,F,247483,,N,Cas9,5700,5439,,6029,6030,6031,6032,6033,,
Rack1,3,G,214484,,N,PB21,5481,5640,5669,6050,6051,6052,6053,6054,,
